model,cv_f1_macro_mean,cv_f1_macro_std,val_f1_macro,val_accuracy
logistic_regression,0.6281691238993197,0.04463343139466263,0.652570559048421,0.6435185185185185
svm_rbf,0.7264403716691858,0.02784688885879098,0.7684351610608793,0.7731481481481481
random_forest,0.6239506116087499,0.028319659197042688,0.711577558021248,0.7083333333333334
mlp,0.6369893781641132,0.015292411256380476,0.7308283655342478,0.7361111111111112
voting_ensemble,0.7045814969582229,0.03549566249466146,0.7360362008890109,0.7361111111111112
xgboost,0.6494116678397075,0.03289520000548259,0.7203245407249416,0.7175925925925926
