mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,rms_mean,rms_std,pitch_mean,pitch_std,duration,tempo
0.0,0.0,0.09517451392434476,0.028164786753038375,0.050708586933730766,0.0,0.04199909219664314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03249387626253437,0.0,0.029300336726255316,0.0,0.0,0.0,0.0037390143389830315,0.0,0.0,0.0,0.0,0.0,0.03813275562884921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028551596130309442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512435740251504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.05147251229508636,0.0,-0.007961606712891792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021165903882261944,0.0,0.0,0.0,0.0,0.0,0.0,-0.01337031965996569,0.0,0.0,0.0,-0.0131595558934762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022087246354938892,0.0,0.0,0.0,0.0,0.0,0.0,-0.02464113738701173,0.0,0.0,0.0,0.0,-0.012705331282164107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044455711476823465,0.0,0.0,0.0,-0.033286184042219495,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.013340315283183015,0.0,0.0,0.0,0.0,0.0,-0.02264508417981212,0.0,0.0,0.0,-0.008933110202264838,0.0,0.0,0.0,0.0,0.0,-0.010080587178410729,0.0,0.0,-0.04463730561867291,0.0,-0.049499531665160135,0.0,0.0,-0.03303745980642948,0.0,0.0,0.0,-0.030187653124291895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019034534486893327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002672972607261933
0.0,-0.014865467517689645,0.0,0.0,-0.017729191632848168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017331592249271353,0.0,0.0,0.0,0.0,-0.02125902261972873,0.0,0.0,0.0,0.0,0.010105837386813789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09087759601336713,0.0,0.0,0.0,0.0,0.0,-0.003928724388537615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027642379904861115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01888305976662405,0.0,0.0,0.0,0.0,-0.032316204814693765,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.03112242835316103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029854770820544097,0.0,0.0,-0.03398367569959784,0.0,0.0,0.0,-0.024063254052956336,0.0,0.0,0.0,0.0,-0.012634284089147811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013469270250712368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020083678862051077,-0.03320890347359643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017175883216203267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02887725532957724,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.07216843775863767,0.0,-0.037706528846218446,0.0,0.0,-0.02434525615847271,0.0,-0.019239506373701382,0.0,0.0,0.0,0.0,0.0,0.0,-0.03012780008638151,0.0,0.0,0.0,0.0,0.0,0.0,-0.009771181320030992,-0.010883611874922297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005558197814794154,0.0,-0.008525773321693545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033038197569459485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.03364373482235086,0.0,-0.03342725944194488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024036874959544232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01764234256764906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335828177421829,0.0,0.0,-0.02753053123114822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010410028203853087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017768410621809255,0.0,0.0,0.0,0.0,-0.021540644486184746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023879123041152153,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014195718591350066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024956384017062253,0.0,0.0,-0.012468145276120352,-0.006092835769765104,-0.004751042274409458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011400637138659209,-0.009937613937544386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022954461763687366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04719863677931511,0.0,0.0,0.0,0.0,0.0,-0.005081150701088507,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.06397033360789256,0.0,-0.041636590273774136,0.0,0.0,0.0,-0.02009800446295265,0.0,0.0,0.0,-0.017954451504251463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012786202385574562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01644176499336687,0.0,0.0,-0.018601122741656886,-0.02758878160182629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019158287140012387,0.0,0.0,0.0,0.0,0.0,0.0,-0.012271601695351178,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.020445979730346574,0.0,0.0,0.0,-0.032247728405918004,0.0,0.0,0.0,0.0,0.0,-0.03910706953676322,-0.03322677897087068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01528048926992204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03243649102833101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019996314953523466,0.0,0.0,0.0,0.0,0.0,-0.0029430436519809478,0.0,0.0,0.0,-0.01655405738972399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03627053728305625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
