mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,rms_mean,rms_std,pitch_mean,pitch_std,duration,tempo
0.0,0.0,-0.04439060241016398,-0.015880621737965516,-0.03585897291023544,0.0,0.0,0.0,0.0,-0.028306102365533343,0.0,0.0,0.0,0.0,0.0,-0.02143966093539106,0.0,0.0,0.0,0.03200017166678715,0.0,0.0,0.0,0.0,0.07403233634490071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016434685137903093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03735983767754841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007843238427011685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.041311330826447466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05580644292513434,0.0,0.0,0.0,-0.025880851585483353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05257505173027053,0.0,0.0,0.0,-0.023297153385421234,0.0,0.0,-0.008716376370107677,0.0,0.0,0.0,0.0,0.0,0.0,-0.02973197296541552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03286003772516352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03199401642121849,0.0,0.0,0.0,0.0,0.003905360445795507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005269860125016126,0.0,0.0,0.0,0.0,0.0,0.0,-0.012512304806485752,-0.018176502659697724,0.0,-0.0028196665210639266,0.0,0.0,0.0,0.0,0.0,0.0,-0.019950635948717266,0.0,0.0,0.0,0.0,0.0,-0.014836863756389039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032044628154786745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035816913385067085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004523065116851632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04010284899171313,0.0
0.0,0.0,-0.07451891243283233,0.0,0.0,0.0,0.0,0.0,-0.03900470709721252,0.0,-0.00790407202253728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0832905642436264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324818974457407,-0.0001967040144033248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034780526660485554,0.0,0.0,-0.03879418202966002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023441839737216265,0.0,0.0,0.0,0.0,0.0,0.0,0.002603894699493899,0.0,0.0
0.0,0.0,-0.01354024968852244,0.0,0.0,0.0,0.0,-0.034670563058564925,-0.004657782532852733,-0.0016019782376617336,0.0,0.0,0.0,-0.01892123588268945,0.0,0.0,0.0,0.0,0.0,-0.022408270015955287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038307029367745514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007515895537015722,-0.0028288198157272633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014442783225011387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.04030273483858713,0.0,0.0,-0.028947733071961287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05525589823923708,0.0,0.05285918977710064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06335120220465013,0.0,0.0,0.024122271428586167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03796551156635359,-0.018691616827535416,0.0,0.0,0.0,0.0,0.0,-0.023752958254673478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012513201772005994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02001375174073281,-0.017072373472143534,0.0,-0.011661539293723214,0.0,0.0,0.0,0.0,0.0,0.0,-0.021036101956864003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015855217279506853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010944544296659364,0.0,-0.009223615831497547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017821387218291834,0.0,0.0,-0.012154435422167525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01570805142381184,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.02437662046385054,0.0,-0.010363164375524057,0.0,0.0,0.0,-0.004278457771123847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008641452614431527,0.0,-0.013640608064500305,0.0,-0.0028058362189874258,0.0,0.0,0.0,-0.016170603987685304,0.0,0.0,0.0,0.0,0.0,0.0,-0.004759483239029142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010396672232077311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002700383191824543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.09037224164605683,0.0,0.0,0.0,0.0,-0.025456665497864028,0.07044945814519255,-0.01795580867846922,0.0,0.0,0.0,0.0,-0.044377824754918076,0.0,0.0,0.0,0.0,0.0,-0.045849308275709176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03276840590580891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04255623244576415,0.0,0.0,-0.011845714128209,0.0,0.0,0.0,-0.04252756079607992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.012889273887130409,0.0,0.004734795224547699,0.0,0.0,-0.007173149100008966,0.0,0.0,0.0,-0.02260525006923471,-0.02923857747503831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025034719452797356,0.0,-0.009902160380753226,0.0,0.0,0.0,0.0,0.0,0.0,-0.016547501118422153,0.0,0.0,0.0,0.0,0.0005666547068780433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014935596739759163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
